V1,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000147689.16,6257.30195407139,6.79169955503033,0.236915323148497,28.6672025463433,9.78541207618701e-181,4.29677444265371e-176,FAM83A
ENSG00000183010.17,3613.05367444914,3.68778284552719,0.132849503972237,27.7591013534975,1.35307267606754e-169,2.97067106030629e-165,PYCR1
ENSG00000165312.6,1098.83383385985,-2.12045819009293,0.081311395854407,-26.0782411593295,6.43708153503191e-150,9.4217416734417e-146,OTUD1
ENSG00000272620.2,2784.3455779061,6.30580706970009,0.257252758201067,24.5121067458935,1.09738245164561e-132,1.20465158629396e-128,AFAP1-AS1
ENSG00000116016.14,26990.0058314036,-2.72397932995301,0.11139973827058,-24.4522955999835,4.7572569148991e-132,4.17782302266439e-128,EPAS1
ENSG00000135604.10,805.366065920256,-3.06733198108962,0.125843688044135,-24.3741424680263,3.21634709036397e-131,2.35383001229803e-127,STX11
ENSG00000235387.5,65.1126212449218,-2.72042985490703,0.111686331068588,-24.3577690204219,4.79642432001237e-131,3.00872845559633e-127,SPAAR
ENSG00000261371.6,11808.3655007963,-2.32194072429338,0.095589777645239,-24.2906802536016,2.45939825977151e-130,1.34990221983209e-126,PECAM1
ENSG00000175832.13,1973.14047290279,3.84679264258589,0.159454496886765,24.1247046504913,1.37639260056409e-128,6.71526656564101e-125,ETV4
ENSG00000162062.15,266.941345941806,3.51277904836723,0.146224527939149,24.0231861088932,1.59207034939222e-127,6.99078090418126e-124,TEDC2
ENSG00000183856.11,1342.55466045067,3.60524212249925,0.150926922209124,23.8873361341314,4.1471577036896e-126,1.65546995244555e-122,IQGAP3
ENSG00000131747.15,5264.42818108063,3.84859133357327,0.16136460776721,23.8502815879265,1.00585006509339e-125,3.68057302985422e-122,TOP2A
ENSG00000170989.10,1756.30313228874,-2.85786461175457,0.120588626085019,-23.6992882706839,3.66713352513464e-124,1.23864486991279e-120,S1PR1
ENSG00000204949.9,209.595214859247,6.61995562163355,0.279578405534708,23.6783510120267,6.02712412104685e-124,1.89036442967977e-120,FAM83A-AS1
ENSG00000179913.11,2090.66630471529,4.34654494058237,0.183957323740197,23.6280070410298,1.98694983494052e-123,5.81646448348256e-120,B3GNT3
ENSG00000102760.13,3345.85332345736,-2.88225704486981,0.12250926802938,-23.5268489578977,2.16698806624198e-122,5.94702787429284e-119,RGCC
ENSG00000139567.13,2206.41975167903,-2.56966346872342,0.109363383910986,-23.4965614342633,4.4226236795485e-122,1.14233768099397e-118,ACVRL1
ENSG00000213853.10,14431.4513827775,-2.73403226434656,0.11744492417857,-23.2792713986479,7.19064744862305e-120,1.75411849705021e-116,EMP2
ENSG00000010319.7,706.070423949245,-3.22936633093402,0.138982528382027,-23.2357719242042,1.98129283869688e-119,4.57887202879894e-116,SEMA3G
ENSG00000182010.11,2068.93189877137,-4.06768470125319,0.176100124782983,-23.0987042528562,4.77091676749479e-118,1.04745477630348e-114,RTKN2
